code,name,parent,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36031,Essex,36,1794.1201267,20.7795451,48.3,0,0,0,0,0,0,0,0,37927,39416,39357,39309,39181,39072,38912,38598,38233,37751,37459,37281
36033,Franklin,36,1629.2947675,30.9268777,40.5,0,0,0,0,0,0,0,0,50374,51697,51711,51698,51676,51508,51280,51007,51054,50692,50477,50389
36035,Fulton,36,495.4593211,107.8837308,44.2,0,0,0,0,0,0,0,0,55031,55497,55456,55358,55165,54870,54606,54297,53955,53743,53646,53452
36037,Genesee,36,492.9384133,116.7569791,43,0,0,0,0,0,0,0,0,58208,59952,59966,59992,59872,59702,59458,59053,58537,58112,57808,57554
36039,Greene,36,647.1609929,73.1425418,46.7,0,0,0,0,0,0,0,0,49071,49410,49298,49122,48928,48618,48312,48069,47791,47617,47424,47335
36041,Hamilton,36,1717.3770215,2.5934899,55.5,0,0,0,0,0,0,0,0,5011,4908,4870,4835,4813,4783,4760,4697,4646,4575,4515,4454
36043,Herkimer,36,1410.5847196,43.7676654,44.3,0,0,0,0,0,0,0,0,62439,64332,64354,64475,64428,64329,64034,63558,62943,62505,62057,61738
36045,Jefferson,36,1267.9120221,87.9035754,32.8,0,0,0,0,0,0,0,0,117595,115069,115941,117011,118073,118885,118947,117966,116567,114448,112842,111454
36047,Kings,36,69.3765165,37141.8331384,35.4,0,0,0,0,0,0,0,0,2538140,2466782,2486119,2512740,2539789,2570801,2595259,2606852,2635121,2600747,2589974,2576771
36049,Lewis,36,1276.4594296,20.7260798,42.2,0,0,0,0,0,0,0,0,26205,27017,27037,27062,27108,27164,27124,27107,26845,26719,26572,26456
36051,Livingston,36,631.7610381,100.0663165,41.5,0,0,0,0,0,0,0,0,63162,65441,65387,65215,65087,64867,64801,64622,64373,63907,63591,63218
36053,Madison,36,654.8496465,108.4065638,42.3,0,0,0,0,0,0,0,0,69868,72887,73156,72977,72839,72731,72427,72089,71760,71359,71205,70990
36055,Monroe,36,656.9475044,1131.1162536,39,0,0,0,0,0,0,0,0,731621,741274,742783,744746,746548,748076,749356,749236,748680,744248,743341,743084
36057,Montgomery,36,403.1102074,122.2841771,40.9,0,0,0,0,0,0,0,0,48632,49945,49985,50025,50019,49951,49779,49667,49500,49426,49302,49294
36059,Nassau,36,284.5414797,4764.4477053,41.9,0,0,0,0,0,0,0,0,1354141,1329083,1332947,1338712,1343765,1350601,1354612,1356801,1363069,1356564,1356509,1355683
36061,New York,36,22.6578334,71902.4175538,37.7,0,0,0,0,0,0,0,0,1620962,1583345,1588257,1596735,1605272,1618398,1629507,1634989,1653877,1632480,1631993,1629153
36063,Niagara,36,522.3524261,402.3050138,43.4,0,0,0,0,0,0,0,0,214613,216064,216036,215869,215465,214973,214150,213374,212675,211704,210820,210145
36065,Oneida,36,1212.4423372,188.9359955,40.8,0,0,0,0,0,0,0,0,231029,234533,234549,234336,234206,233944,233558,232858,232324,230782,229959,229074
36067,Onondaga,36,778.3921166,593.0057489,39.2,0,0,0,0,0,0,0,0,453846,463704,464921,466179,467202,467846,468304,468050,467669,464242,462872,461591
36069,Ontario,36,644.0747339,170.4367432,43.8,0,0,0,0,0,0,0,0,104205,106298,107070,107728,108311,108975,109192,109450,109491,109472,109511,109774
